DATE,Open,High,Low,Close*,Adj Close**,Volume
2022-03-31,"4,599.00","4,614.25","4,526.25",4530.75,4530.75,"1,650,667"
2022-03-30,"4,621.25","4,627.50","4,574.75",4596.00,4596.00,"1,206,203"
2022-03-29,"4,570.25","4,631.00","4,565.25",4625.50,4625.50,"1,353,683"
2022-03-28,"4,535.25","4,572.25","4,509.75",4568.00,4568.00,"1,182,527"
2022-03-25,"4,516.25","4,539.00","4,493.25",4536.50,4536.50,"1,251,078"
2022-03-24,"4,449.25","4,517.50","4,445.75",4512.50,4512.50,"1,221,569"
2022-03-23,"4,504.00","4,514.00","4,444.75",4447.50,4447.50,"1,336,967"
2022-03-22,"4,456.75","4,514.75","4,433.00",4505.00,4505.00,"1,205,860"
2022-03-21,"4,460.00","4,473.00","4,415.00",4452.25,4452.25,"1,375,090"
2022-03-18,"4,393.00","4,409.35","4,373.75",4409.35,4409.35,"1,405,299"
2022-03-17,"4,370.50","4,415.25","4,329.00",4410.25,4410.25,"434,642"
2022-03-16,"4,257.50","4,376.00","4,246.25",4358.00,4358.00,"722,600"
2022-03-15,"4,180.25","4,271.50","4,138.00",4262.00,4262.00,"1,085,846"
2022-03-14,"4,216.00","4,254.50","4,160.75",4172.00,4172.00,"1,438,651"
2022-03-11,"4,258.50","4,335.50","4,198.00",4201.50,4201.50,"1,645,055"
2022-03-10,"4,279.00","4,282.25","4,207.00",4257.25,4257.25,"1,745,090"
2022-03-09,"4,153.00","4,298.25","4,152.00",4275.25,4275.25,"1,659,520"
2022-03-08,"4,186.50","4,275.00","4,138.75",4168.75,4168.75,"2,333,021"
2022-03-07,"4,308.75","4,325.25","4,185.25",4198.50,4198.50,"1,902,001"
2022-03-04,"4,366.50","4,374.50","4,281.25",4327.25,4327.25,"1,842,722"
2022-03-03,"4,373.75","4,418.75","4,341.00",4359.25,4359.25,"1,547,676"
2022-03-02,"4,308.75","4,399.25","4,278.25",4381.75,4381.75,"1,712,970"
2022-03-01,"4,367.50","4,399.00","4,275.00",4303.75,4303.75,"1,869,277"
2022-02-28,"4,299.50","4,385.50","4,251.50",4368.00,4368.00,"2,189,820"
2022-02-25,"4,266.75","4,384.25","4,227.50",4380.00,4380.00,"1,950,397"
2022-02-24,"4,215.50","4,290.00","4,101.75",4284.00,4284.00,"2,945,330"
2022-02-23,"4,310.75","4,345.50","4,212.50",4222.00,4222.00,"1,914,227"
2022-02-22,"4,324.25","4,391.25","4,250.00",4300.00,4300.00,"2,589,159"
