Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,1768.039795,1871.603516,1683.906616,1781.067505,1781.067505,255866202330
2021-02-17,1781.350098,2036.286499,1378.840942,1570.203979,1570.203979,243242279493
2021-02-24,1571.476440,1710.983765,1300.472168,1492.608765,1492.608765,182182317971
2021-03-03,1491.451172,1868.048828,1450.891357,1868.048828,1868.048828,164296479776
2021-03-10,1868.489014,1937.645508,1720.053223,1806.971802,1806.971802,166035654492
2021-03-17,1807.056152,1874.708984,1662.539917,1678.650146,1678.650146,160278674246
2021-03-24,1678.002563,1860.974731,1560.370483,1846.033691,1846.033691,163437999621
2021-03-31,1846.098267,2152.451904,1793.002197,2118.378906,2118.378906,212133951262
2021-04-07,2117.728516,2318.423340,1945.442139,2299.187744,2299.187744,177105359847
2021-04-14,2299.347900,2547.555664,2011.766846,2330.210938,2330.210938,260655674041
2021-04-21,2331.160156,2676.392822,2117.039551,2662.865234,2662.865234,279041783397
2021-04-28,2664.685547,3523.585938,2564.081543,3253.629395,3253.629395,264958892644
2021-05-05,3240.554688,4197.473145,3213.101563,4168.701172,4168.701172,348390142122
2021-05-12,4174.635742,4362.350586,3129.008789,3380.070068,3380.070068,379855926406
2021-05-19,3382.657227,3437.935791,1737.468750,2706.628906,2706.628906,407218924891
2021-05-26,2707.052734,2911.735596,2188.834473,2633.518311,2633.518311,233893461996
2021-06-02,2634.456055,2891.254883,2315.546631,2517.438721,2517.438721,220253476565
2021-06-09,2510.199219,2639.229248,2265.758057,2610.936768,2610.936768,198449188101
2021-06-16,2544.864746,2554.628906,1707.600586,1874.950073,1874.950073,179320588623
2021-06-23,1878.625000,2242.238770,1719.559448,2160.768311,2160.768311,162308584336
2021-06-30,2164.216309,2384.286865,2021.824829,2324.679443,2324.679443,163902095872
2021-07-07,2323.208496,2403.773438,1922.577881,1940.083984,1940.083984,135292729920
2021-07-14,1941.167847,2037.742554,1722.050781,1787.510742,1787.510742,106597965299
2021-07-21,1786.276245,2428.817139,1759.023315,2298.333496,2298.333496,138254967427
2021-07-28,2302.081299,2695.429443,2250.914063,2502.349609,2502.349609,141076729280
2021-08-04,2508.544922,3228.940674,2463.469482,3141.691162,3141.691162,203728791910
2021-08-11,3142.830322,3333.994873,2984.166992,3014.845947,3014.845947,166617765029
2021-08-18,3011.963623,3373.384277,2959.028320,3172.456299,3172.456299,136710554116
2021-08-25,3174.269775,3466.992188,3060.228760,3433.732666,3433.732666,128391646257
2021-09-01,3430.762451,4022.469238,3062.222412,3426.394287,3426.394287,177650522027
2021-09-08,3428.378174,3562.992676,3121.514160,3429.169678,3429.169678,155496968853
2021-09-15,3431.217285,3673.310791,2676.407471,2764.431152,2764.431152,143394395319
2021-09-22,2763.209229,3173.544678,2741.440674,2807.296631,2807.296631,144018502296
2021-09-29,2809.297607,3541.451660,2786.988281,3518.518555,3518.518555,124831131167
2021-10-06,3516.570313,3667.957520,3354.469727,3492.573242,3492.573242,122735130672
2021-10-13,3492.753662,3962.453125,3417.602051,3877.650879,3877.650879,122492764276
2021-10-20,3877.730957,4366.088379,3833.288086,4131.102051,4131.102051,130904982808
2021-10-27,4132.173340,4599.948242,3905.706055,4584.798828,4584.798828,146038714240
2021-11-03,4589.684570,4837.589355,4334.973633,4735.068848,4735.068848,122817232832
2021-11-10,4733.362793,4891.704590,4144.334961,4216.365234,4216.365234,129321174462
2021-11-17,4213.910645,4434.388184,3959.227783,4340.763672,4340.763672,135621791080
2021-11-24,4340.036133,4753.266113,3933.506592,4631.479004,4631.479004,147006841096
2021-12-01,4623.679688,4780.732422,3525.494141,4315.061523,4315.061523,189624883006
